              Name,            X [um],            Y [fF]
                m1,            1.5000,          131.3784
                m2,            1.4000,          132.8135
                m3,            1.3000,          135.3604
                m4,            1.2000,          138.1570
                m5,            1.1000,          141.2593
                m6,            1.0000,          145.0404
                m7,            0.9000,          148.9210
                m8,            0.8000,          153.2966
                m9,            0.7000,          158.4236
               m10,            0.6000,          164.1833
               m11,            0.5000,          171.4251
               m12,            0.4000,          178.6822
               m13,            0.3000,          188.2243
               m14,            0.2000,          200.3058
               m15,            0.1000,          214.9936
               m16,        1.1102E-16,          233.7893
               m17,           -0.1000,          258.6999
               m18,           -0.2000,          297.7554
               m19,           -0.3000,          342.8031
               m20,           -0.4000,          426.1297
